OpName,Numbers
phi,885
add,785
insertvalue,966
inttoptr,264
getelementptr,212
load,113
mul,261
icmp,225
call,184
ptrtoint,72
urem,72
sub,72
select,6
fcmp,6
extractvalue,12
fadd,20
fmul,17
fsub,0
alloca,128
or,0
lshr,0
shl,0
uitofp,0
fdiv,2
xor,0
fptosi,0
fneg,0
fptrunc,0
bitcast,0
and,0
sext,0
sitofp,0
