OpName,Numbers
phi,1600
add,1477
insertvalue,1790
inttoptr,480
getelementptr,373
load,214
mul,510
icmp,403
call,346
ptrtoint,137
urem,137
sub,137
select,32
fcmp,33
extractvalue,12
fadd,28
fmul,28
fsub,0
alloca,216
or,8
lshr,5
shl,4
uitofp,2
fdiv,2
xor,1
fptosi,0
fneg,0
fptrunc,0
bitcast,0
and,0
sext,0
sitofp,0
