OpName,Numbers
phi,237
add,396
insertvalue,667
inttoptr,298
getelementptr,186
load,139
mul,50
icmp,66
call,211
ptrtoint,90
urem,90
sub,90
select,8
fcmp,12
extractvalue,27
fadd,20
fmul,17
fsub,0
alloca,80
or,30
lshr,19
shl,15
uitofp,8
fdiv,3
xor,4
fptosi,0
fneg,1
fptrunc,4
bitcast,0
and,0
sext,0
sitofp,1
