OpName,Numbers
phi,1440
add,1209
insertvalue,1223
inttoptr,361
getelementptr,347
load,237
mul,445
icmp,337
call,252
ptrtoint,97
urem,97
sub,97
select,19
fcmp,19
extractvalue,11
fadd,71
fmul,61
fsub,20
alloca,144
or,0
lshr,0
shl,0
uitofp,0
fdiv,21
xor,0
fptosi,0
fneg,0
fptrunc,0
bitcast,0
and,0
sext,0
sitofp,0
