OpName,Numbers
phi,7429
add,6600
insertvalue,5956
inttoptr,2049
getelementptr,1552
load,1450
mul,2499
icmp,1735
call,1231
ptrtoint,532
urem,532
sub,536
select,144
fcmp,144
extractvalue,11
fadd,316
fmul,293
fsub,72
alloca,352
or,0
lshr,0
shl,0
uitofp,0
fdiv,72
xor,0
fptosi,0
fneg,0
fptrunc,0
bitcast,0
and,0
sext,0
sitofp,1
