OpName,Numbers
phi,4105
add,4214
insertvalue,3841
inttoptr,1361
getelementptr,1056
load,849
mul,1219
icmp,977
call,820
ptrtoint,370
urem,370
sub,370
select,77
fcmp,77
extractvalue,11
fadd,206
fmul,185
fsub,46
alloca,128
or,0
lshr,0
shl,0
uitofp,0
fdiv,84
xor,0
fptosi,0
fneg,0
fptrunc,0
bitcast,0
and,0
sext,0
sitofp,3
