OpName,Numbers
phi,526
add,506
insertvalue,511
inttoptr,191
getelementptr,142
load,100
mul,158
icmp,134
call,120
ptrtoint,54
urem,54
sub,54
select,13
fcmp,15
extractvalue,11
fadd,14
fmul,12
fsub,0
alloca,40
or,16
lshr,10
shl,8
uitofp,4
fdiv,2
xor,2
fptosi,0
fneg,0
fptrunc,0
bitcast,0
and,0
sext,0
sitofp,0
