OpName,Numbers
phi,337
add,322
insertvalue,312
inttoptr,138
getelementptr,113
load,90
mul,88
icmp,83
call,78
ptrtoint,37
urem,37
sub,37
select,14
fcmp,14
extractvalue,12
fadd,10
fmul,6
fsub,2
alloca,0
or,0
lshr,0
shl,0
uitofp,0
fdiv,0
xor,0
fptosi,0
fneg,0
fptrunc,0
bitcast,0
and,0
sext,0
sitofp,0
