OpName,Numbers
phi,2248
add,2151
insertvalue,5452
inttoptr,1569
getelementptr,1110
load,524
mul,580
icmp,555
call,1497
ptrtoint,437
urem,437
sub,437
select,4
fcmp,6
extractvalue,165
fadd,146
fmul,67
fsub,1
alloca,1544
or,32
lshr,20
shl,16
uitofp,6
fdiv,0
xor,4
fptosi,26
fneg,0
fptrunc,0
bitcast,0
and,0
sext,0
sitofp,1
